exit_time,equity,cum_pnl,drawdown,drawdown_pct
2026-05-28 10:00:00,5001100.4244513335,1100.4244513337517,0.0,0.0
2026-05-28 11:00:00,4999397.739534369,-602.2604656314506,1702.684916964732,0.03405369833929464
2026-05-28 12:00:00,4992432.537987911,-7567.462012089312,8667.886463422328,0.17335772926844656
2026-05-28 13:00:00,4987404.119076215,-12595.880923785251,13696.30537511874,0.2739261075023748
2026-05-28 14:00:00,4977418.697405211,-22581.302594789555,23681.727046122774,0.4736345409224555
2026-05-28 15:00:00,4966421.971746974,-33578.028253025885,34678.45270435978,0.6935690540871955
2026-05-28 22:00:00,4973114.241267584,-26885.758732415994,27986.183183749206,0.5597236636749842
2026-05-28 23:00:00,4975806.454203076,-24193.545796924715,25293.97024825774,0.5058794049651548
2026-05-29 00:00:00,4977174.635250092,-22825.364749908465,23925.789201241918,0.4785157840248384
2026-05-29 01:00:00,4976521.0766311195,-23478.92336888018,24579.347820213996,0.4915869564042799
2026-05-29 02:00:00,4975575.438135011,-24424.561864988904,25524.98631632235,0.510499726326447
2026-05-29 03:00:00,4975457.684209704,-24542.315790295845,25642.74024162907,0.5128548048325814
2026-05-29 04:00:00,4977083.229741975,-22916.770258025404,24017.194709358737,0.4803438941871747
2026-05-29 05:00:00,4978981.766184625,-21018.233815374817,22118.658266708255,0.4423731653341651
2026-06-01 00:00:00,4975459.226861261,-24540.773138738805,25641.19759007264,0.5128239518014528
2026-06-01 01:00:00,4970715.861676746,-29284.138323253836,30384.562774587423,0.6076912554917485
2026-06-01 07:00:00,4974547.9695430305,-25452.03045696939,26552.454908302985,0.5310490981660597
2026-06-01 12:00:00,4975745.331415462,-24254.668584537554,25355.093035871163,0.5071018607174232
2026-06-01 15:00:00,4978829.222801156,-21170.777198843538,22271.20165017713,0.4454240330035426
2026-06-01 23:00:00,4975814.219380011,-24185.780619988815,25286.20507132262,0.5057241014264524
2026-06-02 00:00:00,4974884.463745046,-25115.536254953153,26215.960706287064,0.5243192141257412
2026-06-02 05:00:00,4978335.997507254,-21664.002492746167,22764.42694407981,0.45528853888159615
2026-06-02 06:00:00,4983716.847868887,-16283.152131113091,17383.576582446694,0.3476715316489339
2026-06-02 13:00:00,4981965.119220548,-18034.880779451687,19135.30523078516,0.3827061046157032
2026-06-02 14:00:00,4978342.17245888,-21657.827541120278,22758.25199245382,0.45516503984907636
2026-06-02 15:00:00,4974571.997445775,-25428.002554224728,26528.427005558275,0.5305685401111655
2026-06-02 16:00:00,4970592.779055019,-29407.22094498064,30507.64539631456,0.6101529079262913
2026-06-02 17:00:00,4965489.324498517,-34510.67550148258,35611.09995281603,0.7122219990563206
2026-06-02 18:00:00,4960319.561722091,-39680.4382779087,40780.86272924207,0.8156172545848415
2026-06-02 23:00:00,4963498.196273368,-36501.80372663215,37602.22817796562,0.7520445635593124
2026-06-03 01:00:00,4965161.267024628,-34838.7329753721,35939.157426705584,0.7187831485341116
2026-06-03 02:00:00,4965345.913877083,-34654.086122917324,35754.51057425048,0.7150902114850096
2026-06-03 03:00:00,4965543.19245109,-34456.807548910285,35557.23200024385,0.711144640004877
2026-06-03 04:00:00,4967494.6154655,-32505.384534500048,33605.80898583308,0.6721161797166616
2026-06-03 13:00:00,4962648.921545524,-37351.07845447617,38451.50290580932,0.7690300581161864
2026-06-03 17:00:00,4962994.841173517,-37005.15882648309,38105.583277816884,0.7621116655563377
2026-06-03 18:00:00,4964755.5775238285,-35244.422476171276,36344.84692750499,0.7268969385500997
2026-06-03 20:00:00,4958998.740852834,-41001.25914716601,42101.683598499745,0.8420336719699949
2026-06-03 22:00:00,4955991.348665313,-44008.65133468748,45109.07578602061,0.9021815157204122
2026-06-03 22:00:00,4956521.198208862,-43478.801791137856,44579.226242471486,0.8915845248494296
2026-06-03 23:00:00,4957891.751175052,-42108.24882494855,43208.673276281916,0.8641734655256383
2026-06-03 23:00:00,4959262.304141241,-40737.69585875924,41838.120310092345,0.8367624062018469
2026-06-03 23:00:00,4958945.813625861,-41054.186374139106,42154.61082547251,0.8430922165094503
2026-06-04 02:00:00,4954735.954601855,-45264.045398145434,46364.46984947845,0.927289396989569
